Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
SAU,Saudi Arabia,Middle East & North Africa,1995,"18,649","43,981",,,,"18,735,841"
SDN,Sudan,Sub-Saharan Africa,1995,860,"1,961",,,,"24,102,986"
SEN,Senegal,Sub-Saharan Africa,1995,"1,021","2,215",,,,"8,746,606"
SGP,Singapore,East Asia & Pacific,1995,"29,008","44,921",1,,,"3,524,506"
SLB,Solomon Islands,East Asia & Pacific,1995,"1,655","2,400",,,,"359,225"
SLE,Sierra Leone,Sub-Saharan Africa,1995,318,956,,,,"4,274,819"
SLV,El Salvador,Latin America & Caribbean,1995,"2,548","5,364",139,,,"5,611,115"
SMR,San Marino,Europe & Central Asia,1995,,,,,,"25,877"
SOM,Somalia,Sub-Saharan Africa,1995,,,,,,"7,704,894"
SRB,Serbia,Europe & Central Asia,1995,"3,153","7,393",,,,"7,625,357"
SSD,South Sudan,Sub-Saharan Africa,1995,,,,,,"5,459,519"
STP,São Tomé and Principe,Sub-Saharan Africa,1995,,,,,,"126,454"
SUR,Suriname,Latin America & Caribbean,1995,"5,528","9,462",,,,"443,724"
SVK,Slovak Republic,Europe & Central Asia,1995,"8,699","13,184",2,,,"5,361,999"
SVN,Slovenia,Europe & Central Asia,1995,"15,063","18,431",2,,,"1,989,872"
SWE,Sweden,Europe & Central Asia,1995,"37,687","31,077",1,,,"8,826,939"
SWZ,Eswatini,Sub-Saharan Africa,1995,"2,835","5,606",,,,"960,792"
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,1995,,,,,,
SYC,Seychelles,Sub-Saharan Africa,1995,"8,010","15,097",,,,"75,304"
SYR,Syrian Arab Republic,Middle East & North Africa,1995,,,,,,"14,345,492"
TCA,Turks and Caicos Islands,Latin America & Caribbean,1995,,,,,,"15,332"
TCD,Chad,Sub-Saharan Africa,1995,485,"1,041",,,,"7,000,722"
TGO,Togo,Sub-Saharan Africa,1995,494,"1,151",,,,"4,274,024"
THA,Thailand,East Asia & Pacific,1995,"3,530","9,381",8,,,"59,491,790"
TJK,Tajikistan,Europe & Central Asia,1995,447,"1,276",8,,,"5,764,712"
TKM,Turkmenistan,Europe & Central Asia,1995,"2,054","4,601",6,,,"4,207,840"
